,Name,RA (deg),DEC (deg),Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,CLASS2
2205,4FGL J0920.3-0443 ,140.1,140.1,6.175338,840.0889,1.4615922e-10,2.6130844e-12,3.8170652e-13,2.6466756,3.888835e-13,2.6429577,0.011346976,0.15736833,3.8155462e-13,2.6461642,-0.00020549884,0.6666667,0.0,583.6975,34.63661,0.66967815,bcu  ,          
2206,4FGL J0920.9+4441 ,140.2291,140.2291,66.79465,1177.239,4.0806505e-09,4.235214e-11,3.676886e-12,2.3492343,4.1686576e-12,2.392425,0.12554927,11.628906,4.2325757e-12,2.330498,0.20939553,0.6666667,12.008332,9427.541,2412.533,0.9901364,fsrq ,          
2207,4FGL J0920.9-2256 ,140.2355,140.2355,8.334052,5020.269,1.1819301e-10,1.3531104e-12,6.829128e-15,1.7923087,9.839054e-15,1.236856,0.48082438,2.4522371,9.31817e-15,1.2830156,0.5547927,0.6666667,2.4943562,59.89058,4.3088403,0.0,bll  ,          
2208,4FGL J0921.2-8211 ,140.3211,140.3211,8.560233,2269.9316,2.5423316e-10,1.8856414e-12,4.2550253e-14,2.2077317,5.501953e-14,2.2557845,0.18736085,2.3715992,5.113607e-14,2.1390297,0.20756403,0.6666667,1.6686996,361.78604,70.26497,1.265003,bcu  ,          
2209,4FGL J0921.6+6216 ,140.4185,140.4185,104.11022,589.0741,3.5416459e-09,3.602051e-11,1.4748385e-11,2.2866495,1.6073308e-11,2.1803167,0.09019015,9.035048,1.550302e-11,2.1692746,0.08334228,0.6666667,9.106108,8840.613,3346.0066,0.94950396,fsrq ,          
2210,4FGL J0921.7-6317 ,140.4454,140.4454,9.015623,1754.0059,3.7257977e-10,2.0353842e-12,1.0039901e-13,2.2688668,1.5531008e-13,2.1590476,0.4520776,4.1753545,1.5615516e-13,1.9884174,0.9018447,0.6666667,4.1913786,413.38486,3.4422896,0.0,lmb  ,          
2211,4FGL J0921.7+2336 ,140.446,140.446,15.781246,2217.3545,3.625601e-10,4.0272442e-12,7.507778e-14,2.0605555,8.039432e-14,1.9914585,0.05507592,0.99466854,8.046668e-14,1.9488597,0.076413415,0.6666667,1.552015,581.4972,21.39737,0.36491665,bll  ,          
2212,4FGL J0922.3+0644 ,140.59,140.59,5.2124515,633.691,1.1877095e-10,2.1569617e-12,6.6170404e-13,2.6574876,7.4500047e-13,2.6066766,0.08966694,0.9233917,7.3026253e-13,2.5563033,0.116711706,0.6666667,0.9572233,477.29755,10.557783,0.0,PSR  ,          
2213,4FGL J0922.4-0528 ,140.6123,140.6123,22.241611,1450.1434,6.807479e-10,5.7096103e-12,3.1779839e-13,2.098164,3.5243225e-13,1.9601454,0.10404149,2.6281545,3.3477198e-13,1.9669567,0.078916505,0.6666667,2.402605,767.6552,56.18407,0.5707273,fsrq ,          
2214,4FGL J0922.6+4454 ,140.6588,140.6588,6.306486,2069.6433,2.7638217e-10,4.5620287e-12,6.681091e-14,2.589538,5.7983817e-14,2.5699024,-0.07734363,2.0803227,6.358076e-14,2.7018614,-0.039863523,0.6666667,1.1173352,1135.7118,18.729912,0.34646094,bcu  ,          
2215,4FGL J0922.6+0434 ,140.6669,140.6669,19.808132,739.1564,5.9726135e-10,6.5774174e-12,1.6148025e-12,2.3875604,1.833621e-12,2.3197684,0.10290473,2.7043247,1.8011246e-12,2.2696514,0.1539921,0.6666667,1.8995801,1266.3398,163.04333,0.9180212,bcu  ,          
2216,4FGL J0922.6-2116 ,140.6748,140.6748,5.6232796,390.3579,1.07952924e-10,3.0257058e-12,3.256721e-12,2.9255893,3.5667678e-12,2.8958993,0.06975647,0.78379804,3.5035787e-12,2.8583322,0.08704266,0.6666667,0.8416381,750.8036,11.320119,0.0,bcu  ,          
2217,4FGL J0922.7-3959 ,140.6918,140.6918,17.374151,774.84656,6.644148e-10,9.375174e-12,1.949582e-12,2.600892,2.3223001e-12,2.5696511,0.1479749,3.595166,2.2245758e-12,2.4989374,0.18359616,0.6666667,3.3279376,1695.8864,235.46883,1.0209723,fsrq ,          
